intervalSize      & Ep2_errorFun_full    & Ep4_errorFun_full    & Ep6_errorFun_full    & Ep8_errorFun_full    & Ep2_errorFun_QB    & Ep4_errorFun_QB    & Ep6_errorFun_QB    & Ep8_errorFun_QB    & Ep2_errorFun_Q    & Ep4_errorFun_Q    & Ep6_errorFun_Q    & Ep8_errorFun_Q        
3.879518e+00      & 7.619584e-01         & 1.005098e+00         & 1.484749e+00         & 2.153685e+00         & 7.619584e-01       & 5.768574e-01       & 6.252417e-01       & 6.271041e-01       & 7.619584e-01      & 1.231430e+00      & 1.195199e+00      & 1.190262e+00     
3.927711e+00      & 7.843827e-01         & 1.059045e+00         & 1.604146e+00         & 2.386296e+00         & 7.843827e-01       & 5.934711e-01       & 6.450779e-01       & 6.471356e-01       & 7.843827e-01      & 1.273323e+00      & 1.235171e+00      & 1.229680e+00     
3.975904e+00      & 8.071020e-01         & 1.115043e+00         & 1.731262e+00         & 2.640343e+00         & 8.071020e-01       & 6.102656e-01       & 6.652605e-01       & 6.675378e-01       & 8.071020e-01      & 1.316038e+00      & 1.275890e+00      & 1.269794e+00     
4.024096e+00      & 8.301142e-01         & 1.173135e+00         & 1.866475e+00         & 2.917464e+00         & 8.301142e-01       & 6.272384e-01       & 6.857925e-01       & 6.883172e-01       & 8.301142e-01      & 1.359577e+00      & 1.317359e+00      & 1.310601e+00     
4.072289e+00      & 8.534170e-01         & 1.233367e+00         & 2.010176e+00         & 3.219402e+00         & 8.534170e-01       & 6.443870e-01       & 7.066776e-01       & 7.094811e-01       & 8.534170e-01      & 1.403947e+00      & 1.359580e+00      & 1.352101e+00     
4.120482e+00      & 8.770083e-01         & 1.295785e+00         & 2.162770e+00         & 3.548000e+00         & 8.770083e-01       & 6.617089e-01       & 7.279192e-01       & 7.310373e-01       & 8.770083e-01      & 1.449149e+00      & 1.402556e+00      & 1.394290e+00     
4.168675e+00      & 9.008858e-01         & 1.360435e+00         & 2.324674e+00         & 3.905214e+00         & 9.008858e-01       & 6.792021e-01       & 7.495211e-01       & 7.529944e-01       & 9.008858e-01      & 1.495190e+00      & 1.446290e+00      & 1.437167e+00     
4.216867e+00      & 9.250474e-01         & 1.427362e+00         & 2.496318e+00         & 4.293114e+00         & 9.250474e-01       & 6.968642e-01       & 7.714873e-01       & 7.753618e-01       & 9.250474e-01      & 1.542071e+00      & 1.490783e+00      & 1.480730e+00     
4.265060e+00      & 9.494909e-01         & 1.496614e+00         & 2.678148e+00         & 4.713888e+00         & 9.494909e-01       & 7.146932e-01       & 7.938220e-01       & 7.981497e-01       & 9.494909e-01      & 1.589799e+00      & 1.536039e+00      & 1.524975e+00     
4.313253e+00      & 9.742141e-01         & 1.568236e+00         & 2.870622e+00         & 5.169852e+00         & 9.742141e-01       & 7.326871e-01       & 8.165294e-01       & 8.213693e-01       & 9.742141e-01      & 1.638375e+00      & 1.582060e+00      & 1.569899e+00     
4.361446e+00      & 9.992150e-01         & 1.642275e+00         & 3.074213e+00         & 5.663448e+00         & 9.992150e-01       & 7.508442e-01       & 8.396141e-01       & 8.450325e-01       & 9.992150e-01      & 1.687806e+00      & 1.628849e+00      & 1.615499e+00     
